POINTID,ELEVATION,X_LOC,Y_LOC
1,594.9099731,2306636.664,4832459.757
2,1041.869995,2294636.664,4831959.757
3,1022.51001,2295136.664,4831959.757
4,647.7299805,2305136.664,4831959.757
5,634.6699829,2306636.664,4831959.757
6,649.2800293,2307136.664,4831959.757
7,909.7600098,2294136.664,4831459.757
8,945.9000244,2294636.664,4831459.757
9,979.1699829,2295136.664,4831459.757
10,715.2000122,2304636.664,4831459.757
11,623.0599976,2305136.664,4831459.757
12,640.5,2305636.664,4831459.757
13,565.4099731,2306136.664,4831459.757
14,660.9500122,2306636.664,4831459.757
15,623.1799927,2307136.664,4831459.757
16,874.4500122,2294136.664,4830959.757
17,882.8300171,2294636.664,4830959.757
18,1013.98999,2295136.664,4830959.757
19,1068.569946,2295636.664,4830959.757
20,858.0300293,2303136.664,4830959.757
21,763.25,2303636.664,4830959.757
22,773.9000244,2304136.664,4830959.757
23,699.0300293,2304636.664,4830959.757
24,722.75,2305136.664,4830959.757
25,707.0300293,2305636.664,4830959.757
26,642.9400024,2306136.664,4830959.757
27,596.7000122,2306636.664,4830959.757
28,782.4199829,2294136.664,4830459.757
29,852.3599853,2294636.664,4830459.757
30,966.5100098,2295136.664,4830459.757
31,1055.51001,2295636.664,4830459.757
32,1119.040039,2296136.664,4830459.757
33,1075.48999,2296636.664,4830459.757
34,1056.699951,2297136.664,4830459.757
35,833.1900024,2303136.664,4830459.757
36,730.1300049,2303636.664,4830459.757
37,680.6500244,2304136.664,4830459.757
38,678.6799927,2304636.664,4830459.757
39,710.2999878,2305136.664,4830459.757
40,657.1599731,2305636.664,4830459.757
41,669.9199829,2306136.664,4830459.757
42,606.6199951,2306636.664,4830459.757
43,831.8900147,2293636.664,4829959.757
44,713.8599853,2294136.664,4829959.757
45,819.9500122,2294636.664,4829959.757
46,946.25,2295136.664,4829959.757
47,1046.359985,2295636.664,4829959.757
48,919.8400269,2296136.664,4829959.757
49,873.9899902,2296636.664,4829959.757
50,961.8800049,2297136.664,4829959.757
51,941.6900024,2297636.664,4829959.757
52,944.9299927,2298136.664,4829959.757
53,1039.459961,2299136.664,4829959.757
54,906.2399902,2299636.664,4829959.757
55,756.6099853,2300136.664,4829959.757
56,761.539978,2300636.664,4829959.757
57,763.2999878,2301136.664,4829959.757
58,916.3599853,2302636.664,4829959.757
59,901.6099853,2303136.664,4829959.757
60,780.8300171,2303636.664,4829959.757
61,745.2399902,2304136.664,4829959.757
62,710.9699707,2304636.664,4829959.757
63,626.4299927,2305136.664,4829959.757
64,619.8499756,2305636.664,4829959.757
65,587.6699829,2306136.664,4829959.757
66,675.2800293,2306636.664,4829959.757
67,685.0100098,2307136.664,4829959.757
68,714.9899902,2292636.664,4829459.757
69,711.4699707,2293136.664,4829459.757
70,772.0999756,2293636.664,4829459.757
71,705.8400269,2294136.664,4829459.757
72,804.4500122,2294636.664,4829459.757
73,911.5700073,2295136.664,4829459.757
74,861.789978,2295636.664,4829459.757
75,771.9699707,2296136.664,4829459.757
76,849.0800171,2296636.664,4829459.757
77,1001,2297136.664,4829459.757
78,825.2800293,2297636.664,4829459.757
79,792.9400024,2298136.664,4829459.757
80,909.75,2298636.664,4829459.757
81,977.8400269,2299136.664,4829459.757
82,899.3200073,2299636.664,4829459.757
83,810.8499756,2300136.664,4829459.757
84,882.9500122,2300636.664,4829459.757
85,744.0599976,2301136.664,4829459.757
86,723.9400024,2301636.664,4829459.757
87,800.9099731,2302136.664,4829459.757
88,872.9299927,2302636.664,4829459.757
89,895.9699707,2303136.664,4829459.757
90,847.5599976,2303636.664,4829459.757
91,738.9699707,2304136.664,4829459.757
92,757.6400147,2304636.664,4829459.757
93,736.4199829,2305136.664,4829459.757
94,646.5700073,2305636.664,4829459.757
95,625.6099853,2306136.664,4829459.757
96,699.6400147,2306636.664,4829459.757
97,745.960022,2307136.664,4829459.757
98,640.6199951,2292636.664,4828959.757
99,578.5,2293136.664,4828959.757
100,676.4199829,2293636.664,4828959.757
101,727.1599731,2294136.664,4828959.757
102,775.25,2294636.664,4828959.757
103,876.5599976,2295136.664,4828959.757
104,745.4899902,2295636.664,4828959.757
105,793.9000244,2296136.664,4828959.757
106,897.5599976,2296636.664,4828959.757
107,845.0800171,2297136.664,4828959.757
108,753.6900024,2297636.664,4828959.757
109,797.0300293,2298136.664,4828959.757
110,826.1500244,2298636.664,4828959.757
111,914.8900147,2299136.664,4828959.757
112,855.6300049,2299636.664,4828959.757
113,880.3300171,2300136.664,4828959.757
114,839.289978,2300636.664,4828959.757
115,806.210022,2301136.664,4828959.757
116,823.6300049,2301636.664,4828959.757
117,851.210022,2302136.664,4828959.757
118,883.4699707,2302636.664,4828959.757
119,917.710022,2303136.664,4828959.757
120,774.289978,2303636.664,4828959.757
